Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
162,CARROT,74,341,8.1,79.57,23.60000038,1.49,.256,212,3.93,1.57,275,68466,14.6,5.45,108
822,POTATO CHIPS,28.75357143,505.6428571,7.061428571,59.07857143,4.692857197,28.23642857,6.801428571,49.64285714,1.647142857,.915,517.7857143,84.92857143,23.42142857,2.227857143,6.735714286
823,POTATO PUFFS,128,182.5,2.04,26.86,2.199999988,8.195,1.732,13.5,.635,.305,468.5,4.5,6.9,.235,3.7
824,POTATO SALAD,250,143,2.68,11.17,1.299999952,8.2,1.429,19,.65,.31,529,157,10,0,0
825,POTATO SOUP,38.98,343,9.2,76.14,7.599999905,3.1,.613,172,2.38,.91,612,60,16,.54,13.9
826,POTATOES,144.9179167,139.25,2.926111111,25.40611111,2.661111107,3.321666667,1.157430556,29.59722222,1.297777778,.389583333,232.5138889,55.45833333,12.23888889,.045694444,1.476388889
827,POULTRY,227,238,13.3,0,0,20.06333333,5.63,149.3333333,1.506666667,1.67,43.66666667,167,2.166666667,0,0
828,POULTRY FD PRODUCTS,267.8,192,22.41,0,0,10.705,2.82,19,1.59,2.395,100.5,2.5,0,.345,.75
829,POUT,156.5,90.5,18.985,0,0,1.04,.365,11.5,.32,1.175,69.5,43,0,0,0
830,PRAIRIE TURNIPS,0,142.5,2.13,32.83,7.599999905,.34,0,116.5,1.11,.325,4.5,0,3.75,0,0
831,PRETZELS,61.10714286,376.5714286,9.077142857,75.73285714,2.814285687,5.018571429,1.661571429,34,3.01,.935714286,889.5714286,1.428571429,.214285714,.204285714,1.071428571
832,PRICKLY PEARS,149,41,.73,9.57,3.599999905,.51,.067,56,.3,.12,5,43,14,0,0
833,PRK,147.44,158,25.455,.205,0,5.72,1.948,7,.735,1.9,595.5,24.5,0,.215,0
834,PRUNE JUICE,256,71,.61,17.45,1,.03,.003,12,1.18,.21,4,3,4.1,.12,3.4
835,PRUNES,215.3333333,185.6666667,1.933333333,48.85666667,1.266666651,.39,.031666667,37.66666667,1.7,.396666667,3.333333333,1027.333333,.933333333,0,0
836,PUDDING,0,109,.65,24.2,0,1.12,.382,8,.13,.1,63,58,0,.1,0
837,PUDDINGS,65.37645833,220.8333333,2.129375,48.68,.712500006,2.202083333,1.1831875,94.10416667,.419375,.292083333,657.0416667,61.89583333,.358333333,.028125,.164583333
838,PUFF PASTRY,28.35,554.5,7.35,45.4,1.5,38.3,7.5725,10,2.58,.535,251,1,0,.545,16.2
839,PUMMELO,190,38,.76,9.62,1,.04,0,4,.11,.08,1,8,61,0,0
840,PUMPKIN,205,24.83333333,.955,5.943333333,1.566666702,.146666667,.0765,23.33333333,.933333333,.203333333,121.1666667,8371.333333,5.3,.803333333,5.783333333
841,PUMPKIN FLOWERS,83.5,15,1.06,3.29,.449999988,.075,.0385,38,.79,.05,5.5,1840.5,16.5,.02,0
842,PUMPKIN LEAVES,60.33333333,20.33333333,2.863333333,3.036666667,1.800000032,.28,.145,41.66666667,2.873333333,.2,87.66666667,1714,4.333333333,.64,72
843,PUMPKIN PIE MIX,270,104,1.09,26.39,8.300000191,.13,.065,37,1.06,.27,208,8298,3.5,0,0
844,PUMPKIN&SQUASH SD KRNLS,197.3333333,528.3333333,30.16,14.89,3.900000095,43.37,8.204666667,43,14.95,7.446666667,203.6666667,380,1.833333333,0,48.6
845,PUMPKIN&SQUASH SEEDS,64,446,18.55,53.75,0,19.4,3.67,55,3.31,10.3,296.5,62,.3,0,0
846,PURSLANE,91,17.33333333,1.426666667,3.51,0,.16,0,73.66666667,1.176666667,.17,123,1674.666667,14,0,0
847,Pancakes plain,40.56,225,5.33,39.29,2.400000095,5.17,.81,71,2.19,.38,505,216,.3,.28,6.5
848,QUAIL,102.25,170.75,22.27,0,0,8.4175,2.38125,12.75,3.805,2.73,52.75,142.75,5.175,.175,1.05
849,QUAKER OATS,29.64,5,0,1.22,0,0,0,1,.03,0,13,0,8.8,1.67,0
850,QUINCES,92,57,.4,15.3,1.899999976,.1,.01,11,.7,.04,4,40,15,0,0
851,QUINOA,177.685,244,9.26,42.73,4.899999976,3.995,.353,32,3.03,2.095,6,9.5,0,1.535,0
852,RADICCHIO,40,23,1.43,4.48,.899999976,.25,.06,19,.57,.62,22,27,8,2.26,255.2
853,RADISH SEEDS,38,43,3.81,3.6,0,2.53,.767,51,.86,.56,6,391,28.9,0,0
854,RADISHES,152,54.42857143,1.817142857,12.22285714,1.428571446,.257142857,.078285714,110,1.257142857,.452857143,200.7142857,1,13.71428571,0,.385714286
855,RAISINS,165,299,2.993333333,79.05666667,4.833333413,.486666667,.129,43.66666667,2.086666667,.24,17,0,3.633333333,.08,2.333333333
856,RAMBUTAN,150,82,.65,20.87,.899999976,.21,0,22,.35,.08,11,3,4.9,0,0
857,RASPBERRIES,157.25,77,.9625,18.8275,5.425000012,.3025,.00725,21.75,.6,.3075,2.25,44,19.45,.6875,6.525
858,RED BARON PREMIUM POCKETS,269,268,11.2,27.2,0,12.7,4.66,143,0,0,791,0,0,0,0
859,REFRIED BNS,237.06,84.33333333,5.343333333,14.08666667,4.833333174,.83,.208666667,34,1.663333333,.68,439,0,2,.06,.766666667
860,RENNIN,0,86.75,3.1325,12.84,.25,2.56,1.53425,122.5,.175,.43,48.75,141.25,.875,0,0
861,RHUBARB,124.75,54.75,1.51,12.685,1.399999976,.215,.024,106.25,.18,.07,1.75,1190.5,12.275,.1825,19.925
862,RICE,176.7462069,233.1034483,4.725517241,50.27103448,1.210344822,.803448276,.171758621,15.65517241,1.684137931,.83137931,112.8275862,0,.027586207,.08862069,.103448276
863,RICE BOWL W/ CHICK,340.13,126,5.65,22.46,.699999988,1.56,.327,13,.35,.38,333,609,3,.23,3.8
864,RICE BRAN,118,316,13.35,49.69,21,20.85,4.171,57,18.54,6.04,5,0,0,4.92,1.9
865,RICE CAKE,4.2,392,7.1,81.1,4.199999809,4.3,.875,11,1.49,3,71,0,0,1.24,1.9
866,RICE CAKES,9,386.3,8.31,80.75,2.749999976,3.42,.583,14,1.531,2.728,136,.3,.6,.248,.38
867,RICE FLOUR,158,364.5,6.59,78.305,3.5,2.1,.4715,10.5,1.165,1.625,4,0,0,.655,0
868,RICE NOODLES,116.35,236.5,2.175,54.07,1.300000012,.38,.088,11,.42,.495,100.5,0,0,0,0
869,ROCKFISH,170,107.5,21.395,0,0,1.79,.422,10.5,.47,.47,68.5,214,0,1.405,.1
870,ROE,21.175,173.5,25.47,1.71,0,7.325,1.661,25,.685,1.14,104,301,16.2,3.5,.1
871,ROLLS,31.19230769,275.3076923,9.435384615,49.20692308,3.915384595,4.838461538,1.013384615,95.30769231,3.233846154,1.032307692,516.9230769,28.53846154,.046153846,.329230769,2.684615385
872,ROSE HIPS,0,162,1.6,38.22,24.10000038,.34,0,169,1.06,.25,4,4345,426,5.84,25.9
873,ROSE-APPLES,0,25,.6,5.7,0,.3,0,29,.07,.06,0,339,22.3,0,0
874,ROSELLE,57,49,.96,11.31,0,.64,0,215,1.48,0,6,287,12,0,0
875,ROSEMARY,2.5,231,4.095,42.38,28.34999943,10.54,5.1045,798.5,17.95,2.08,38,3026,41.5,0,0
876,ROUGHY,85,90.5,19.525,0,0,.8,.0245,10,1.07,.275,70.5,75,0,1.535,.9
877,ROWAL,114,111,2.3,23.9,6.199999809,2,.245,15,2.2,.43,4,383,25.8,0,0
878,RUTABAGAS,143.3333333,38,1.26,8.536666667,1.433333317,.213333333,.028333333,47.66666667,.526666667,.346666667,98,2,20.86666667,.313333333,.3
879,RYE FLOUR,110.6666667,348.3333333,10.60333333,75.48666667,17.26666705,1.94,.217333333,33.66666667,3.456666667,3.12,2,3.666666667,0,.876666667,5.9
880,SABLEFISH,124.1166667,234,16.08333333,0,0,18.35333333,3.837666667,43.33333333,1.536666667,.386666667,288.3333333,352,0,0,0
881,SAFFLOWER SD KRNLS,28.35,517,16.18,34.29,0,38.45,3.682,78,4.9,5.05,3,50,0,0,0
882,SAFFLOWER SD MEAL,28.35,342,35.62,48.73,0,2.39,.207,77,4.86,5.01,3,49,0,0,0
883,SAGE,2,315,10.63,60.73,40.29999924,12.75,7.03,1652,28.12,4.7,11,5900,32.4,7.48,1714.5
884,SALAD DRESSING,250,390,.9,23.8,.100000001,33.4,4.9,14,.2,.18,710,63,0,3.08,63.7
885,SALAD DRSNG,108.3216667,287.8333333,.949833333,14.51816667,.506666668,25.69533333,3.9198,22.6,.398833333,.156166667,821.2166667,135.3333333,.895,2.277166667,40.11166667
886,SALAMI,45.07,324,21.7325,2.1425,.025,24.72,8.65025,19,1.405,3.17,1680.75,2,0,.185,1.45
887,SALMON,195.5296296,165.6296296,23.62962963,0,0,7.27037037,1.589962963,76.48148148,.696666667,.656666667,215.6666667,133.7037037,.803703704,.65,.103703704
888,SALMONBERRIES,0,47,.85,10.05,1.899999976,.33,0,13,.4,.28,14,496,9.2,1.61,14.8
889,SALSIFY,134.3333333,72.66666667,2.92,16.44,3.166666587,.18,.013666667,51.33333333,.6,.326666667,96,0,5.733333333,.126666667,.2
890,SALT,292,0,0,0,0,0,0,24,.33,.1,38758,0,0,0,0
891,SANDWICH SPRD,15.3,389,.9,22.4,.400000006,34,5.1,14,.2,.81,1000,223,0,4,24.7
892,SANDWICH SPREAD,15,192,7.83,10.47,1.749999978,13.17,3.701,28,1.145,1.16,821.5,48.5,0,1.735,.8
893,SANDWICHES&BURGERS,190,247,16.59,25.625,0,8.565,3.5,74.5,2.7,2.635,659.5,145,1.35,0,0
894,SAPODILLA,241,83,.44,19.96,5.300000191,1.1,.194,21,.8,.1,12,60,14.7,0,0
895,SAPOTES,225,134,2.12,33.76,2.599999905,.6,0,39,1,0,10,410,20,0,0
896,SARDINE,119,197,22.74,.37,.050000001,10.955,2.107,311,2.61,1.355,459.5,125.5,.5,1.74,1.5
897,SAUCE,127.6196667,152.1666667,4.274,18.82833333,1.380000014,6.731666667,1.761366667,99.1,1.003666667,.530333333,1366.1,304.5333333,9.08,.459333333,2.36
898,SAUERKRAUT,142,20.5,.905,4.315,2.700000048,.12,.03,30,1.47,.19,484.5,18,14.7,.14,13
899,SAUSAGE,138.1,298.8333333,15.48333333,3.296666667,.483333326,24.82166667,7.964166667,22.5,1.506666667,1.705,954.3333333,35.66666667,.35,.533333333,.833333333
900,SAVORY,4.4,272,6.73,68.73,45.70000076,5.91,3.26,2132,37.88,4.3,24,5130,50,0,0
901,SCALLOP,36.5,128.5,17.705,5.7775,0,3.3775,.7435,47.25,1.105,1.335,421.25,72.75,1.325,.375,.075
902,SCRAMBLED EGGS&SAUSAGE W/HASHED BROWN POTATOES,177,204,7.1,9.7,.800000012,15.2,4.15,0,.94,0,436,0,0,0,0
903,SCRAPPLE,17.2,213,8.06,14.06,.300000012,13.87,4.732,7,1.89,1.06,659,2086,2.5,.15,3.4
904,SCUP,108,120,21.545,0,0,3.115,.32,45.5,.605,.55,48,97,0,.25,.05
905,SEA BASS,115,110.5,21.03,0,0,2.28,.583,11.5,.33,.46,77.5,198,0,.25,.05
906,SEA CUCUMBER,0,56,13,0,0,.4,0,30,.6,0,0,310,0,0,0
907,SEA LION,0,257.3333333,17.80833333,1.325,0,20.08833333,.816666667,5.333333333,7.288333333,2.803333333,96,53.83333333,0,.516666667,0
908,SEAL,0,215,35.284,0,0,8.232,.948,7,19.9,2.14,83.4,876,0,.178,0
909,SEATROUT,212,118.5,19.1,0,0,4.12,1.151,19.5,.31,.515,66,107.5,0,0,0
910,SEAWEED,22.25,102.5,10.27125,18.7575,1.899999954,1.26,.415375,158.875,8.785,1.64875,309.625,802.75,7.375,1.82625,16.5625
911,SEEDS,167.71,534,18.29,28.88,27.29999924,42.16,3.663,255,5.73,4.34,30,0,.6,.31,4.3
912,SEMOLINA,167,360,12.68,72.83,3.900000095,1.05,.15,17,2.795,1.05,1,0,0,.13,0
913,SESAME BUTTER,15,590,17.648,22.164,7.620000076,52.416,7.3404,417.6,8.286,6.324,47.4,63.6,.84,.05,0
914,SESAME FLOUR,28.35,429.5,40.46,31.065,0,19.425,2.6985,154,14.695,10.335,40,66.5,0,0,0
915,SESAME FLR,28.35,382,40.32,35.14,0,11.89,1.634,150,14.3,10.7,41,69,0,0,0
916,SESAME MEAL,28.35,567,16.96,26.04,0,48,6.722,153,14.55,10.23,39,66,0,0,0
917,SESAME SD KRNLS,135.3333333,588.3333333,18.12333333,21.27,15.13333321,52.40333333,7.499666667,107.3333333,7.306666667,9.063333333,224.6666667,66,0,.726666667,0
918,SESAME SEEDS,86.175,569,17.345,24.595,12.9000001,48.835,6.8395,982,14.655,7.455,11,9,0,.125,0
919,SESAME STKS,28.35,541,10.9,46.5,1.399999976,36.7,6.48,170,.74,1.17,758.5,46.5,0,1.925,4
920,SESBANIA FLOWER,70.33333333,23.33333333,1.186666667,5.686666667,0,.046666667,0,21,.653333333,0,91,0,49,0,0
921,SHAD,164,224.5,19.32,0,0,15.71,1.563,53.5,1.105,.42,58,115,0,.5,.05
922,SHAKE,71.01333333,129.3333333,3.39,19.66333333,1.066666653,4.34,2.669666667,113.6666667,.293333333,.446666667,87,172.3333333,.4,.12,.633333333
923,SHALLOTS,5.45,210,7.4,48.75,0,.3,.0505,110,3.6,1.165,35.5,28644.5,23.5,0,0
924,SHARK,42.5,179,19.8,3.195,0,9.165,2.065,42,.975,.455,100.5,206.5,0,.5,.05
925,SHEEPSHEAD,212,117,23.115,0,0,2.02,.4845,29,.565,.51,72,107.5,0,0,0
926,SHERBET,74,144,1.1,30.4,1.299999952,2,1.16,54,.14,.48,46,46,2.3,.01,0
927,SHORTENING,47.89090909,886.3636364,0,0,0,99.99727273,28.50536364,.090909091,.006363636,0,.363636364,0,0,3.063636364,32.49090909
928,SHORTENING BREAD,12.8,884,0,0,0,100,22,0,0,0,0,0,0,8,0
929,SHORTENING CAKE MIX,12.8,884,0,0,0,100,27.2,0,0,0,0,0,0,.8,43
930,SHORTENING CONFECTIONERY,12.8,884,0,0,0,100,91.3,0,0,0,0,0,0,1.95,43
931,SHORTENING FRYING (HVY DUTY),12.8,892,0,0,0,100,46.2,0,0,0,0,0,0,11.5,0
932,SHORTENING FRYING (REG),12.8,884,0,0,0,100,15.4,0,0,0,0,0,0,.8,43
933,SHORTENING FRYING HVY DUTY,12.8,884,0,0,0,100,19.75,0,0,0,0,0,0,.8,43
934,SHORTENING INDUSTRIAL,12.8,892,0,0,0,100,30.65,0,0,0,0,0,0,.9,21.5
935,SHRIMP,77.8,129.6,19.084,4.302,.080000001,3.584,.6364,64.4,1.898,1.268,439.6,132,1.96,.716,0
936,SIDE DISHES,95,114,1.53,13.53,0,6.03,1.03,14,.73,.2,328,100,1.1,0,0
937,SILK CHAI,243,53,2.47,7.82,0,1.44,.206,123,.44,.37,41,123,0,0,0
938,SILK CHOC,243,58,2.06,9.47,.800000012,1.44,.206,123,.59,.25,41,206,0,0,0
939,SILK COFFEE,243,62,2.06,10.29,0,1.44,.206,123,0,.37,41,123,0,0,0
940,SILK LT CHOC,243,49,2.06,9.05,.800000012,.62,0,123,.59,.25,41,206,0,0,0
941,SILK LT PLN,243,29,2.47,3.29,.400000006,.82,0,123,.44,.25,49,206,0,0,0
942,SILK LT VANILLA,243,33,2.47,4.12,.400000006,.82,0,123,.44,.25,39,206,0,0,0
943,SILK MOCHA,243,58,2.06,9.05,0,1.44,.206,123,.44,.37,41,123,0,0,0
944,SILK NOG,122,74,2.46,12.3,0,1.64,0,16,.3,0,61,0,0,0,0
945,SILK PLN,243,41,2.88,3.29,.400000006,1.65,.206,123,.44,.25,49,206,0,0,0
946,SILK PLUS FIBER,243,41,2.47,5.76,2.099999905,1.44,.206,123,.44,.25,39,206,0,0,0
947,SILK PLUS FOR BONE HEALTH,243,41,2.47,4.53,.800000012,1.44,.206,165,.44,.25,39,206,0,0,0
948,SILK PLUS OMEGA-3 DHA,243,45,2.88,3.29,.400000006,2.06,.206,144,.44,.25,49,412,0,0,0
949,SILK UNSWTND,243,33,2.88,1.65,.400000006,1.65,.206,123,.44,.25,35,206,0,0,0
950,SILK VANILLA,243,41,2.47,4.12,.400000006,1.44,.206,123,.44,.25,39,206,0,0,0
951,SILK VERY VANILLA,243,53,2.47,7.82,.400000006,1.65,.206,144,.44,.62,58,412,8.6,0,0
952,SISYMBRIUM SP. SEEDS,74,318,12.14,58.26,0,4.6,.902,1633,.11,.3,92,63,30.7,0,0
953,SMART ONES,255,103,5.15,16.3,1.149999976,1.9,.8,41,.3,0,250,160,1.05,0,0
954,SMELT,56.66666667,202.3333333,32.14,0,0,7.806666667,1.540333333,579,2.483333333,3.49,185.6666667,190.3333333,0,1.67,.033333333
955,SMOKED LINK SAUSAGE,68,296,13.07666667,2.023333333,0,25.75666667,8.951,39.33333333,1.166666667,1.756666667,1090.666667,0,1.066666667,.156666667,.533333333
956,SNACK,28.35,559,4.45,52.02,3.099999905,38.41,9.492,27,.82,.48,388,0,8.2,11.4,7.2
957,SNACKS,31.634,441.4,7.2368,66.7132,4.080000024,16.7404,3.72444,197.2,2.5472,1.3976,510.08,577.2,10.436,1.2332,11.348
958,SNAIL,0,90,16.1,2,0,1.4,.361,10,3.5,1,70,100,0,5,.1
959,SNAPPER,194,114,23.405,0,0,1.53,.325,36,.21,.4,60.5,107.5,1.6,.25,.05
960,SOUP,210.4852128,73.93617021,3.326755319,9.655425532,.821276604,2.528031915,.914851064,23.38297872,.687553191,.483191489,1059.680851,579.8244681,1.477659574,.253776596,3.530851064
961,SOUP COMPANY,126,71,3.97,7.14,.800000012,3.17,1.19,16,.57,0,778,595,0,0,0
962,SOUR CREAM,0,130.3333333,4.533333333,9.9,0,8.233333333,5.1,135.6666667,.043333333,.423333333,94,339.6666667,.6,.233333333,.4
963,SOUR CRM,230,208,2.4,6.63,0,19.52,17.791,3,.39,1.18,102,0,0,.74,4.8
964,SOUR DRSNG,235,178,3.25,4.68,0,16.57,13.272,113,.03,.37,48,10,.9,1.34,4.1
965,SOURDOCK,0,42,2.3,6.5,0,.7,0,2,.8,0,0,11900,68,0,0
966,SOURSOP,225,66,1,16.84,3.299999952,.3,.051,14,.6,.1,14,2,20.6,.08,.4
967,SOY FLOUR,92.49,380.3333333,42.35333333,36.16333333,14.36666679,10.25666667,1.471,244,7.936666667,3.493333333,14,66.66666667,0,.873333333,26
968,SOY FLR,88.6,411,42.286,32.038,9.1,15.994,2.314,211,6.44,3.272,12.8,86.4,0,.544,15.84
969,SOY MEAL,122,338,47.075,38.015,0,2.39,.268,244,13.7,5.06,3,40,0,0,0
970,SOY PROT CONC,28.35,330,59.96333333,29.07666667,5.5,.46,.052,363,10.78,4.4,601,0,0,0,0
971,SOY PROT ISOLATE,28.35,353.75,85.69,3.2025,1.899999976,2.265,.3535,189,15.75,18.015,332,465.5,0,0,0
972,SOY SAU MADE FROM SOY&WHEAT (SHOYU),255,53,5.17,8.51,.800000012,.08,.01,17,2.02,.37,3333,0,0,0,0
973,SOYBEAN,225,151,12.5,6.9,0,8.1,1.172,188,5.6,1.72,20,42,0,.6,4.6
974,SOYBEANS,134.6428571,224.8571429,19.54785714,16.03,5.835714399,11.40714286,1.526214286,123.7857143,3.7,2.035714286,87.28571429,61.21428571,9.807142857,.205714286,19.74285714
975,SOYMILK,243,47.71428571,2.498571429,6.671428571,.457142866,1.22,.143571429,95.42857143,.5,.231428571,51.57142857,148.5714286,.485714286,.048571429,1.714285714
976,SOYMILK (ALL FLAVORS),243,36.5,2.48,4.1525,.475000005,1.055,.103,115.5,.435,.085,45.25,253,1.8,.63,0
977,SPAGHETTI,107.32,225.3125,9.52875,43.511875,2.175000027,1.351875,.304,21,1.8375,1.089375,69.5625,38.5,0,.09375,9.6375
978,SPAGHETTI W/ MEAT SAU,283,90,5.05,15.24,1.799999952,1.01,.35,18,1.25,.51,167,174,5.4,.5,.7
979,SPAGHETTIOS,252,92,3.57,13.1,.800000012,2.78,.992,60,1.07,0,393,198,2.4,0,0
980,SPEARMINT,6.5,164.5,11.61,30.225,18.29999972,3.38,.884,843.5,49.67,1.75,187,7316.5,6.65,0,0
981,SPELT,183.515,232.5,10.035,48.315,7.299999953,1.64,.203,18.5,3.055,2.265,6.5,7,0,.525,1.8
982,SPICES,1.816666667,292,12.60333333,63.83166667,30.3333331,7.326666667,1.745166667,1322.5,49.81166667,5.25,34.5,5077.166667,46.45,5.636666667,675.1166667
983,SPINACH,185.3333333,25.22222222,3.053333333,3.797777778,2.611111177,.495555556,.060888889,122.1111111,2.346666667,.543333333,152.1111111,9872.444444,10.98888889,2.012222222,376.1222222
984,SPINY LOBSTER,186,127.5,23.505,2.775,0,1.725,.27,56,1.315,6.47,202,18.5,2.05,0,0
985,SPLIT PEA SOUP,253,71,3.85,11.83,1.899999976,.92,.3,17,.77,.4,166,552,0,.2,36.1
986,SPLIT PEA W/ HAM SOUP,0,68,4,11.4,1.899999976,.7,.294,16,.7,.49,196,415,1,.06,2.6
987,SPORTS DRK,100.3033333,23,0,5.756666667,0,.016666667,.002666667,.666666667,.063333333,.013333333,32,0,2.233333333,0,.066666667
988,SPOT,57,140.5,21.12,0,0,5.59,1.6545,16,.365,.58,33,107.5,0,0,0
989,SQUAB,216.3333333,190,19.24333333,0,0,11.94,3.856666667,11.66666667,3.453333333,2.533333333,53.33333333,131.3333333,5.833333333,0,0
990,SQUASH,174.6444444,29.13333333,1.101777778,6.836444444,1.393333326,.224,.045111111,21.33333333,.48,.216666667,81,1920.311111,8.513333333,.194,1.837777778
991,SQUID,56.675,133.5,16.76,5.435,0,4.43,1.118,35.5,.845,1.635,175,34,4.45,.6,0
992,SQUIRREL,0,111,19.3,0,0,3.8,0,0,4.7,0,0,220,0,0,0
993,STAGG CLASSIC CHILI W/BNS,247,131,6.97,11.83,3,6.61,2.71,37,1.6,1.1,334,470,1,0,0
994,STAGG COUNTRY CHILI W/BNS,247,129,6.27,11.74,2.400000095,6.38,2.77,23,1.4,1,458,208,.7,0,0
995,STAGG DYNAMITE CHILI W/BNS,247,135,7.4,12.44,3.299999952,6.22,2.29,42,1.8,1.1,349,507,1.2,0,0
996,STAGG RANCHHOUSE CHILI W/BNS,247,115,7.78,12.78,3.5,3.61,1.06,46,1.7,.8,329,438,2.1,0,0
997,STAGG SILVERADO CHILI W/BNS,247,92,7.29,13.39,3.299999952,1.13,.39,36,1.5,1.1,350,505,2.1,0,0
998,STEELHEAD TROUT,0,270.5,49.19,0,0,8.16,1.1795,57.5,1.8,1.18,1484,139,0,2.28,0
999,STEW,0,90.8,7.892,8.296,1.3,2.886,1.158,18.8,1.286,1.316,93.2,208.6,.2,.222,.98
1000,STEW/SOUP,0,41,3.8,4.8,.100000001,.7,.01,7,.2,.1,72,1607,1.5,0,0
1001,STOUFFER'S CHICK PIE,283,259,7.17,22.59,1.399999976,15.5,6.29,51,1.02,0,416,358,.3,0,0
1002,STOUFFER'S CRMD CHIPPED BF,125,110,7.52,7.07,.400000006,5.71,3.31,81,.69,0,471,0,0,0,0
1003,STOUFFER'S HOMESTYLE SALISBURY STEAK IN GRAVY & MAC& CHS,454,102,6.36,7.47,1.5,5.17,1.8,17,.74,0,163,71,1.7,0,0
1004,STOUFFER'S LASAGNA W/ MEAT & SAU,595,116,8.04,12.57,1.100000024,3.77,1.9,69,.61,0,312,154,.6,0,0
1005,STOUFFER'S LN CUISINE CHICK & VEG W/ VERMICELLI,297,78,6.68,8.91,1.299999952,1.7,.63,55,.48,0,213,528,.9,0,0
1006,STOUFFER'S LN CUISINE HS BF POT RST W/ WHIPPED POTATOES,255,72,4.98,8.29,1.200000048,2.14,.54,28,.62,0,301,371,1.3,0,0
1007,STOUFFER'S LN CUISINE HS STUFF CAB W/ MEAT SAU&WHPED POT,269,73,4.03,9.07,1.5,2.28,.64,33,.56,0,264,42,.2,0,0
1008,STOUFFER'S LN CUISINE MACARONI & BF IN TOMATO SAU,283,91,6.07,13.23,1.700000048,1.54,.59,30,.63,0,201,96,.8,0,0
1009,STOUFFER'S LN CUISINE ORIENTAL BF W/ VEG & RICE,255,74,4.96,11.05,1.600000024,1.08,.42,12,.46,0,210,433,2,0,0
1010,STOUFFER'S LN CUISINE SPAGHETTI W/ MEAT SAU,326,87,4.31,14.91,1.399999976,1.08,.34,31,.73,0,168,137,.9,0,0
1011,STOUFFER'S LN CUISINE SPAGHETTI W/ MEATBALLS & SAU,269,93,6.68,12.27,1.5,1.9,.75,37,.81,0,211,95,1.1,0,0
1012,STOUFFER'S LN CUISINE SWEDISH MEATBALLS W/ PASTE,258,106,8.56,12.14,1,2.63,1.08,44,1,0,238,0,0,0,0
1013,STOUFFER'S STUFFED PEPPERS W/ BF IN TOMATO SAU,220,73,3.72,8.73,1.200000048,2.57,1.01,17,.68,0,284,90,11.7,0,0
1014,STRAWBERRIES,227.4,66.6,.542,17.452,1.919999981,.188,.0098,13.4,.542,.094,2.2,26.8,42.52,.248,1.9
1015,STRAWBERRY-FLAVOR BEV MIX,144,238.5,1.55,55.7,0,1.65,.955,57,.26,.175,43,58,.6,0,0
1016,STRUDEL,28.35,274,3.3,41.1,2.200000048,11.2,2.044,15,.42,.19,269,30,1.7,1.42,2.9
1017,STURGEON,83.11666667,137.6666667,22.68,0,0,4.54,1.041666667,15.66666667,.843333333,.506666667,287.3333333,836,0,.543333333,.1
1018,SUCCOTASH,175.125,93,4.1675,19.97125,3.262499958,.79,.147125,15,1.08375,.52125,138.875,226.5,7.85,.045,.675
1019,SUCKER,141.5,105.5,19.125,0,0,2.645,.5155,80,1.485,.855,45.5,183,0,0,0
1020,SUGAR-APPLES,250,94,2.06,23.64,4.400000095,.29,.048,24,.6,.1,9,6,36.3,0,0
1021,SUGARS,86.46,377.5,.055,97.1425,0,.075,.014,43.75,.5875,1.5225,10,0,0,0,0
1022,SUNFISH,42.5,101.5,22.135,0,0,.8,.1585,91.5,1.37,1.77,91.5,54,1,0,0
1023,SUNFLOWER SD BUTTER,16,579,19.66,27.42,0,47.73,5.002,122,4.75,5.29,261.5,52,2.7,0,0
1024,SUNFLOWER SD FLR,64,326,48.06,35.83,5.199999809,1.61,.138,114,6.62,4.95,3,49,1.3,0,0
1025,SUNFLOWER SD KRNLS,120,595.7142857,19.14,22.15714286,10.41428593,52.46571429,5.847857143,72.28571429,5.004285714,5.228571429,207.2857143,12.28571429,1.314285714,22.58428571,1.657142857
1026,SUPPER BAKES MEAL KITS,125,147,4.8,24.8,.800000012,3.2,1.2,0,0,0,520,0,0,0,0
1027,SWAMP CABBAGE,84,19.66666667,2.253333333,3.52,1.966666619,.226666667,.013,61.66666667,1.436666667,.166666667,197.6666667,5566.666667,29,0,0
1028,SWEET POTATO,201.25,96.5,1.5475,21.945,2.458333333,.418333333,.146416667,29.58333333,.770833333,.246666667,73.08333333,13095.66667,10.99166667,.625833333,1.683333333
1029,SWEET POTATO LEAVES,54.33333333,34.33333333,2.88,7.006666667,1.933333317,.3,.065,28.33333333,.736666667,.27,90.33333333,953.3333333,4.666666667,.64,72.4
1030,SWEET ROLLS,28.35,356.75,5.925,50.575,.900000036,15.025,3.89175,63.75,1.8625,.4675,584.25,118,.65,.4975,1.1
1031,SWEETENERS,40.3,340.6,.622,88.852,.02,0,0,.2,.058,.022,88.4,0,0,0,0
1032,SWEETPOTATO,255,91,1.65,21.12,1.799999952,.2,.041,22,.89,.18,53,7983,26.4,1,2.2
1033,SWORDFISH,121,138,22.595,0,0,4.575,1.2515,5,.925,1.31,102.5,128.5,1.1,.25,.05
