Id,CATEGORY,HOUSEHOLD_WEIGHT,KILOCALORIES,PROTEIN,CARBOHYDRATE,FIBER,TOTAL_FAT,SATURATED_FAT,CALCIUM,IRON,ZINC,SODIUM,VITAMIN_A,VITAMIN_C,VITAMIN_E,VITAMIN_K
232,CINNAMON,7.85,247,3.99,80.59,53.09999847,1.24,.345,1002,8.32,1.83,10,295,3.8,2.32,31.2
233,CINNAMON SWIRL FRENCH TOAST W/SAUSAGE,156,266,8.4,24.5,1.5,14.9,4.68,0,1.63,0,322,0,0,0,0
234,CISCO,53.675,137.5,17.675,0,0,6.905,1.081,19,.445,.335,268,521.5,0,.1,.05
235,CITRUS FRUIT JUC DRK,141.51,104,.77,25.81,.150000002,.065,.0045,17,2.53,.08,3.5,84,61.2,.14,.15
236,CLAM,159.4,114.8,15.702,4.652,0,3.208,.631,61.2,16.822,1.678,171.8,361,13.64,.248,.16
237,CLAM&TOMATO JUC,30.2,48,.6,10.95,.400000006,.2,0,8,.15,.08,362,149,5,.11,0
238,CLEMENTINES,74.05,47,.85,12.02,1.700000048,.15,0,30,.14,.06,1,0,48.8,.2,0
239,CLOUDBERRIES,0,51,2.4,8.6,0,.8,0,18,.7,0,0,210,158,0,0
240,CLOVES,6.6,323,5.98,61.21,34.20000076,20.07,5.438,646,8.68,1.09,243,530,80.8,8.52,141.8
241,CLS,167,119,2.28,22.51,1.700000048,2.22,1.039,67,2.35,.52,150,653,0,.11,.6
242,COCKLES,0,79,13.5,4.7,0,.7,0,30,16.2,0,0,0,0,0,0
243,COCKTAIL MIX,36,287,.08,71.6,0,.01,.003,2,.04,.02,0,12,4.2,.02,0
244,COCOA,36.48,288.4,18.26,53.98,29.34000015,16.844,8.222,96.6,18.876,5.316,16,0,0,.094,2.32
245,COCOA MIX,71.57714286,288.2857143,7.884285714,54.40142857,3.014285735,5.825714286,4.485428571,342.5714286,2.181428571,1.26,546.8571429,234.5714286,.028571429,.067142857,.857142857
246,COCONUT CRM,240,330,3.63,6.65,2.200000048,34.68,30.753,11,2.28,.96,4,0,2.8,0,0
247,COCONUT MEAT,59.96571429,527.1428571,4.31,35.03285714,6.314285551,44.18142857,39.40228571,19,2.538571429,1.617142857,99.71428571,0,1.214285714,.152857143,.114285714
248,COCONUT MILK,235.3333333,209.6666667,1.973333333,4.643333333,.733333349,21.99,19.5,12.66666667,1.916666667,.606666667,13.33333333,0,1.633333333,.05,.033333333
249,COD,159.5583333,128.1666667,27.845,0,0,1.033333333,.1855,37.83333333,.741666667,.685,1256.5,55.5,2.066666667,.958333333,.133333333
